Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
SK,"Stockport",603540,260549,24766,16419,0,53.3714,-2.09816
SL,"Slough",373407,144554,16523,10749,0,51.5153,-0.642172
SM,"Sutton",217171,87907,6566,4361,0,51.3628,-0.184589
SN,"Swindon",458798,191252,21139,14411,0,51.5058,-1.89423
SO,"Southampton",665472,276330,39736,18295,0,50.9295,-1.3921
SP,"Salisbury",232282,94658,11206,8515,0,51.1085,-1.77929
SR,"Sunderland",250843,109612,8567,6551,8,54.8765,-1.38939
SS,"Southend-on-Sea",518631,216682,17102,11855,0,51.5622,0.600045
ST,"Stoke-on-Trent",644416,275646,22413,17591,0,52.9779,-2.14633
SW,"South West London",877183,382790,36075,20386,0,51.4641,-0.167476
SY,"Shrewsbury",341952,144660,17070,14355,0,52.6641,-3.04793
TA,"Taunton",322408,139414,14537,11634,0,51.0558,-3.06776
TD,"Galashiels",112644,52111,5197,4470,1,55.6142,-2.52533
TF,"Telford",212536,85637,9113,6949,0,52.7132,-2.46188
TN,"Tonbridge",681747,286228,32202,22589,0,51.0853,0.441336
TQ,"Torquay",281112,125365,13049,9966,0,50.4589,-3.61609
TR,"Truro",294061,127803,15105,11998,0,50.2105,-5.24428
TS,"Cleveland",602320,256341,22733,17411,0,54.5849,-1.22378
TW,"Twickenham",491918,193508,19903,11168,0,51.4486,-0.390096
UB,"Southall",371413,126879,11405,7136,0,51.5277,-0.417324
W,"West London",531690,236493,39761,19037,0,51.5115,-0.192465
WA,"Warrington",616482,261804,25360,18105,0,53.3905,-2.5913
WC,"Central London",35745,15757,7405,2691,0,51.5176,-0.122611
WD,"Watford",256476,103336,15790,7325,0,51.6587,-0.393788
WF,"Wakefield",512784,214107,18054,14322,0,53.6855,-1.4969
WN,"Wigan",309156,131514,9054,7103,0,53.5344,-2.63767
WR,"Worcester",287838,122730,12331,8649,0,52.1631,-2.16856
WS,"Walsall",449728,181669,14728,10057,0,52.6492,-1.95742
WV,"Wolverhampton",396187,162933,14155,10463,66,52.5808,-2.16228
YO,"York",562761,242140,33935,18435,0,54.0448,-0.887478
ZE,"Lerwick",23086,9915,748,652,0,60.2211,-1.19844
